sessionID,command_id,distance,direction,anomalyScore,isAnomaly
CLI-20260723-014525,2,0.266239,2.62377,6.11223e-06,0
CLI-20260723-014525,3,0.733808,-1.86722,0.000106036,0
CLI-20260723-014525,4,0.687254,-2.30378,8.68483e-05,0
CLI-20260723-014525,5,0.249783,-2.75471,1.15755e-05,0
CLI-20260723-014525,6,1.55819,1.97821,4.92448e-06,0
CLI-20260723-014525,7,1.50053,-0.210942,8.92911e-06,0
CLI-20260723-014525,8,0.579895,-0.802871,1.07105e-05,0
CLI-20260723-014525,9,1.45519,1.98285,4.74892e-06,0
CLI-20260723-014525,10,1.86316,0.341909,6.64489e-06,0
CLI-20260723-014525,11,1.80234,-1.98395,3.2422e-06,0
CLI-20260723-014540,2,0.842206,1.39122,4.93483e-05,0
CLI-20260723-014540,3,1.47741,0.145505,2.7875e-05,0
CLI-20260723-014540,4,0.651578,1.70238,5.21488e-06,0
CLI-20260723-014540,5,1.83426,0.058481,7.71255e-06,0
CLI-20260723-014540,6,1.78515,0.490778,7.118e-06,0
CLI-20260723-014540,7,0.705327,-0.771484,9.70145e-06,0
CLI-20260723-014540,8,0.58835,-1.64817,5.76255e-06,0
CLI-20260723-014540,9,1.55037,2.67758,3.60054e-06,0
CLI-20260723-014540,10,1.42963,-0.996904,8.13376e-06,0
CLI-20260723-014540,11,1.86482,3.10924,2.44706e-06,0
CLI-20260723-014557,2,1.86082,-0.45816,9.31346e-05,0
CLI-20260723-014557,3,0.123421,1.61441,5.44407e-06,0
CLI-20260723-014557,4,0.924031,-1.0526,4.08914e-05,0
CLI-20260723-014557,5,0.055722,-2.84898,3.03383e-06,0
CLI-20260723-014557,6,0.232016,0.104099,9.42914e-06,0
CLI-20260723-014557,7,0.686148,2.47609,5.05384e-06,0
CLI-20260723-014557,8,1.28834,-2.29501,0.00014718,0
CLI-20260723-014557,9,1.72321,1.5544,4.94624e-06,0
CLI-20260723-014557,10,0.346793,0.423689,5.19739e-06,0
CLI-20260723-014557,11,0.751652,2.43882,4.11474e-06,0
CLI-20260723-014611,2,1.05552,-1.93569,0.000124802,0
CLI-20260723-014611,3,1.24794,2.1806,6.33873e-06,0
CLI-20260723-014611,4,1.01188,2.5722,5.21573e-06,0
CLI-20260723-014611,5,1.09661,-1.30592,3.27911e-05,0
CLI-20260723-014611,6,0.556381,1.64143,5.86124e-06,0
CLI-20260723-014611,7,0.781975,0.491263,7.46048e-06,0
CLI-20260723-014611,8,1.80748,1.0847,4.85101e-06,0
CLI-20260723-014611,9,0.23829,-1.73904,5.22101e-06,0
CLI-20260723-014611,10,0.954689,1.87536,4.8379e-06,0
