timestamp,source,sessionID,current_function,current_command,filename,parent_id,current_id,x,y,distance,direction,distance_moved,instruction_pointer,stack_pointer,frame_pointer,rax,rbx,rcx,rdx,rsi,call_depthobstructed?call_depth,response_time(ns)
20260723-001024,server,CLI-20260723-001024,handle_request()RECEIVED_MOVE,move, ,1,2,0,0,0.266239,2.62377,0,100901244505254,140723315447336,140723315447344,140723315447472,140723315447472,136612890140800,3,140723315448440,n/a,2, 
20260723-001024,server,CLI-20260723-001024,handle_request()RECEIVED_MOVE,move, ,1,3,0,0,0.733808,-1.86722,0,100901244505254,140723315447336,140723315447344,140723315447472,140723315447472,136612890140800,3,140723315448440,n/a,3, 
20260723-001024,server,CLI-20260723-001024,handle_request()RECEIVED_MOVE,move, ,1,4,0,0,0.687254,-2.30378,0,100901244505254,140723315447336,140723315447344,140723315447472,140723315447472,136612890140800,3,140723315448440,n/a,4, 
20260723-001024,server,CLI-20260723-001024,handle_request()RECEIVED_MOVE,move, ,1,5,0,0,0.249783,-2.75471,0,100901244505254,140723315447336,140723315447344,140723315447472,140723315447472,136612890140800,3,140723315448440,n/a,5, 
20260723-001024,server,CLI-20260723-001024,handle_request()RECEIVED_MOVE,move, ,1,6,0,0,1.55819,1.97821,0,100901244505254,140723315447336,140723315447344,140723315447472,140723315447472,136612890140800,3,140723315448440,n/a,6, 
20260723-001024,server,CLI-20260723-001024,handle_request()RECEIVED_MOVE,move, ,1,7,0,0,1.50053,-0.210942,0,100901244505254,140723315447336,140723315447344,140723315447472,140723315447472,136612890140800,3,140723315448440,n/a,7, 
20260723-001024,server,CLI-20260723-001024,handle_request()RECEIVED_MOVE,move, ,1,8,0,0,0.579895,-0.802871,0,100901244505254,140723315447336,140723315447344,140723315447472,140723315447472,136612890140800,3,140723315448440,n/a,8, 
20260723-001025,server,CLI-20260723-001024,handle_request()RECEIVED_MOVE,move, ,1,9,0,0,1.45519,1.98285,0,100901244505254,140723315447336,140723315447344,140723315447472,140723315447472,136612890140800,3,140723315448440,n/a,9, 
20260723-001025,server,CLI-20260723-001024,handle_request()RECEIVED_MOVE,move, ,1,10,0,0,1.86316,0.341909,0,100901244505254,140723315447336,140723315447344,140723315447472,140723315447472,136612890140800,3,140723315448440,n/a,10, 
20260723-001025,server,CLI-20260723-001024,handle_request()RECEIVED_MOVE,move, ,1,11,1.79002,0.637044,1.80234,-1.98395,1.9,100901244505254,140723315447336,140723315447344,140723315447472,140723315447472,136612890140800,3,140723315448440,n/a,11, 
