timestamp,source,sessionID,current_function,current_command,filename,parent_id,current_id,x,y,distance,direction,distance_moved,instruction_pointer,stack_pointer,frame_pointer,rax,rbx,rcx,rdx,rsi,obstructed?,call_depth,response_time(ns)
20260723-001024,client,CLI-20260723-001024,move_robot()BEFORE_SERVICE_CALL,move, ,1,2,0,0,0.266239,2.62377,0,99947132847891,140726391335896,140726391335904,140726391336048,140726391336048,140374773981312,3,140726391337080,n/a,5,37ns
20260723-001024,client,CLI-20260723-001024,move_robot()AFTER_SERVICE_CALL,move, ,1,2,0,0,0.266239,2.62377,0,99947132847891,140726391335896,140726391335904,140726391336048,140726391336048,140374773981312,3,140726391337080,obstructed,6,100164252ns
20260723-001024,client,CLI-20260723-001024,move_robot()BEFORE_SERVICE_CALL,move, ,1,3,0,0,0.733808,-1.86722,0,99947132847891,140726391335896,140726391335904,140726391336048,140726391336048,140374773981312,3,140726391337080,n/a,8,38ns
20260723-001024,client,CLI-20260723-001024,move_robot()AFTER_SERVICE_CALL,move, ,1,3,0,0,0.733808,-1.86722,0,99947132847891,140726391335896,140726391335904,140726391336048,140726391336048,140374773981312,3,140726391337080,obstructed,9,8749411ns
20260723-001024,client,CLI-20260723-001024,move_robot()BEFORE_SERVICE_CALL,move, ,1,4,0,0,0.687254,-2.30378,0,99947132847891,140726391335896,140726391335904,140726391336048,140726391336048,140374773981312,3,140726391337080,n/a,11,58ns
20260723-001024,client,CLI-20260723-001024,move_robot()AFTER_SERVICE_CALL,move, ,1,4,0,0,0.687254,-2.30378,0,99947132847891,140726391335896,140726391335904,140726391336048,140726391336048,140374773981312,3,140726391337080,obstructed,12,4465038ns
20260723-001024,client,CLI-20260723-001024,move_robot()BEFORE_SERVICE_CALL,move, ,1,5,0,0,0.249783,-2.75471,0,99947132847891,140726391335896,140726391335904,140726391336048,140726391336048,140374773981312,3,140726391337080,n/a,14,53ns
20260723-001024,client,CLI-20260723-001024,move_robot()AFTER_SERVICE_CALL,move, ,1,5,0,0,0.249783,-2.75471,0,99947132847891,140726391335896,140726391335904,140726391336048,140726391336048,140374773981312,3,140726391337080,obstructed,15,8174594ns
20260723-001024,client,CLI-20260723-001024,move_robot()BEFORE_SERVICE_CALL,move, ,1,6,0,0,1.55819,1.97821,0,99947132847891,140726391335896,140726391335904,140726391336048,140726391336048,140374773981312,3,140726391337080,n/a,17,50ns
20260723-001024,client,CLI-20260723-001024,move_robot()AFTER_SERVICE_CALL,move, ,1,6,0,0,1.55819,1.97821,0,99947132847891,140726391335896,140726391335904,140726391336048,140726391336048,140374773981312,3,140726391337080,obstructed,18,5605270ns
